TEsubFam,X1,X2,TEFam,class,fam,count,age1.curated,is.age.curated,Hmark,mean_odds,combo_fisher,mean_combo
Eutr2B,1.9577640001753,0.169670753324052,DNA,DNA,,433,105,Eutheria,H3K4me1,0.880720396887526,1,-2.03533473620161
Eutr2B,1.9577640001753,0.169670753324052,DNA,DNA,,433,105,Eutheria,H3K4me3,0.195796066236479,1,-6.11776258848383
Eutr2B,1.9577640001753,0.169670753324052,DNA,DNA,,433,105,Eutheria,H3K9me3,3.41835299092873,1,-1.61170872042523
Eutr5,0.504665026016406,-0.656947347495915,LTR?,LTR,,394,156,No,H3K27ac,0.747347654062317,1,-0.665689898038417
Eutr5,0.504665026016406,-0.656947347495915,LTR?,LTR,,394,156,No,H3K27me3,3.20591638950624,0.00196468820784542,0.426721570088105
Eutr5,0.504665026016406,-0.656947347495915,LTR?,LTR,,394,156,No,H3K36me3,1.25990325996082,1,-8.8857899362663
Eutr5,0.504665026016406,-0.656947347495915,LTR?,LTR,,394,156,No,H3K4me1,1.0156721893667,1,-0.902325735723701
Eutr5,0.504665026016406,-0.656947347495915,LTR?,LTR,,394,156,No,H3K4me3,0.31311388923374,1,-3.61728680639479
Eutr5,0.504665026016406,-0.656947347495915,LTR?,LTR,,394,156,No,H3K9me3,3.58741427865517,1,-0.516468661006626
EUTREP15,0.289947074230678,1.53322233733064,LTR/ERV1?,LTR,ERV1?,196,146.5,No,H3K27ac,0.949849976840635,1,-0.216142046377578
EUTREP15,0.289947074230678,1.53322233733064,LTR/ERV1?,LTR,ERV1?,196,146.5,No,H3K27me3,4.4160752272579,1,-0.148935074208118
EUTREP15,0.289947074230678,1.53322233733064,LTR/ERV1?,LTR,ERV1?,196,146.5,No,H3K36me3,2.47606881312181,1,-2.09143927883739
EUTREP15,0.289947074230678,1.53322233733064,LTR/ERV1?,LTR,ERV1?,196,146.5,No,H3K4me1,1.73540837254144,0.999999143131415,0.092659054984351
EUTREP15,0.289947074230678,1.53322233733064,LTR/ERV1?,LTR,ERV1?,196,146.5,No,H3K4me3,0.546939729605223,1,-0.845658873112517
EUTREP15,0.289947074230678,1.53322233733064,LTR/ERV1?,LTR,ERV1?,196,146.5,No,H3K9me3,6.39001410891985,1,-0.075704898358129
EUTREP16,1.68971700732265,1.85222383289326,LTR,LTR,,411,149,No,H3K27ac,0.823775537380086,1,-0.392855375797125
EUTREP16,1.68971700732265,1.85222383289326,LTR,LTR,,411,149,No,H3K27me3,3.02469736101816,0.999609086574294,0.186137194266739
EUTREP16,1.68971700732265,1.85222383289326,LTR,LTR,,411,149,No,H3K36me3,1.87698556856488,1,-0.392653931537572
EUTREP16,1.68971700732265,1.85222383289326,LTR,LTR,,411,149,No,H3K4me1,1.34451489782617,0.999999995024787,-0.113534403504189
EUTREP16,1.68971700732265,1.85222383289326,LTR,LTR,,411,149,No,H3K4me3,0.478353118425775,1,-1.43288904672791
EUTREP16,1.68971700732265,1.85222383289326,LTR,LTR,,411,149,No,H3K9me3,3.42890305461779,1,-1.87154073998198
EUTREP4,0.794032025501695,0.974377840207371,DNA?/PiggyBac?,DNA,PiggyBac?,294,105,Eutheria,H3K27ac,0.59797686295733,1,-1.35153136126138
EUTREP4,0.794032025501695,0.974377840207371,DNA?/PiggyBac?,DNA,PiggyBac?,294,105,Eutheria,H3K27me3,3.5526460124697,1,-0.147037990291489
