	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
IAPLTR2a|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2a	0	2	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPEz-int|RLTR27|RLTR27|IAPEz-int|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPEz-int|RLTR27|RLTR27|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPLTR1_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2b|IAPEz-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPLTR2b|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|RLTR27|IAPEz-int|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2b|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPEz-int|IAPEz-int|IAPEz-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2b|IAPA_MM-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|RLTR27|RLTR27|IAPEz-int|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPLTR2a	0	2	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4_I|ERVB4_1B-I_MM-int|ERVB4_1B-I_MM-int|ERVB4_1B-I_MM-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4_I|ETnERV3-int|ETnERV3-int|ETnERV3-int|IAPLTR4_I	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MLT1-int|MLT2B4	0	1	4692	0.0	1.0	te_in_peak	1	n.s
LTR40c|HERVL40-int|HERVL40-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR40b|LTR40b|LTR40b|LTR40b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR40b|LTR40b|LTR40b	0	2	4692	0.0	1.0	peak_in_te	1	n.s
LTR40b|LTR40b|HERVL40-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR40b|LTR40b	0	47	4692	0.04	1.0	te_in_peak	1	n.s
LTR40b|LTR40a	0	3	4692	0.0	1.0	te_in_peak	1	n.s
LTR40b|HERVL40-int|HERVL40-int|HERVL40-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
LTR40b|HERVL40-int	0	5	4692	0.0	1.0	peak_in_te	1	n.s
LTR40a|LTR40b	0	2	4692	0.0	1.0	peak_in_te	1	n.s
LTR40a|LTR40a|LTR40b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR40a|LTR40a|LTR40a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR40a|LTR40a	0	62	4692	0.05	1.0	te_in_peak	1	n.s
LTR40a|HERVL40-int	0	6	4692	0.0	1.0	peak_in_te	1	n.s
LTR39	0	13	4692	0.01	1.0	te_in_peak	1	n.s
LTR36	0	4	4692	0.0	1.0	te_in_peak	1	n.s
LTR34	0	6	4692	0.01	1.0	te_in_peak	1	n.s
LTR32	0	7	4692	0.01	1.0	te_in_peak	1	n.s
LTR29	0	33	4692	0.03	1.0	te_in_peak	1	n.s
LTR40c|HERVL40-int	0	2	4692	0.0	1.0	te_in_peak	1	n.s
LTR40c|LTR40b	0	1	4692	0.0	1.0	te_in_peak	1	n.s
IAPLTR4_I|IAPEY3-int	0	6	4692	0.0	1.0	peak_in_te	1	n.s
LTR40c|LTR40c	0	20	4692	0.02	1.0	te_in_peak	1	n.s
LTR59	0	8	4692	0.01	1.0	te_in_peak	1	n.s
LTR58	0	12	4692	0.01	1.0	te_in_peak	1	n.s
LTR52|LTR52|LTR52-int|LTR52-int|LTR52|LTR52	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR52|LTR52|LTR52	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR52|LTR52-int|LTR52-int|LTR52-int|LTR52-int|LTR52-int|LTR52-int|LTR52-int|LTR52-int|LTR52	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR52|LTR52-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
LTR52|LTR52	0	11	4692	0.01	1.0	te_in_peak	1	n.s
LTR52-int|LTR52-int|LTR52-int|LTR52-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR52-int|LTR52-int|LTR52-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR52-int|LTR52-int|LTR52	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR52-int|LTR52-int	0	3	4692	0.0	1.0	peak_in_te	1	n.s
LTR52-int|LTR52	0	3	4692	0.0	1.0	peak_in_te	1	n.s
LTR52-int	0	15	4692	0.01	1.0	te_in_peak	1	n.s
LTR45C	0	23	4692	0.02	1.0	te_in_peak	1	n.s
LTR45	0	30	4692	0.03	1.0	te_in_peak	1	n.s
LTR44	0	6	4692	0.01	1.0	te_in_peak	1	n.s
LTR40c|LTR40c|HERVL40-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR28|RNERVK23-int|RLTR23|RLTR23	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR28	0	9	4692	0.01	1.0	te_in_peak	1	n.s
LTR27C	0	8	4692	0.01	1.0	te_in_peak	1	n.s
LTR23-int	0	9	4692	0.01	1.0	te_in_peak	1	n.s
IAPLTR4|IAPEY4_I-int|IAPLTR4	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4|IAPEY4_I-int|IAPEY4_I-int|IAPLTR4	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4|IAPEY4_I-int|IAPEY4_I-int|IAPEY4_I-int|IAPEY4_I-int|IAPLTR4	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4|IAPEY4_I-int	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|IAPLTR4_I|IAPEY3-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|IAPLTR4_I|ETnERV3-int|ETnERV3-int|ETnERV3-int	0	2	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|IAPEY3-int|IAPEY3-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|IAPEY3-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|ETnERV3-int|ETnERV3-int|ETnERV3-int|ETnERV3-int|ETnERV3-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|ETnERV3-int|ETnERV3-int|ETnERV3-int|ETnERV3-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|ETnERV3-int|ETnERV3-int|ETnERV3-int	0	3	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|ETnERV3-int|ETnERV3-int	0	3	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I|ERVB4_1B-I_MM-int|ERVB4_1B-I_MM-int	0	6	4692	0.03	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPLTR4_I	0	4	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPEY3-int|IAPEY3_LTR	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPEY3-int|IAPEY3-int|IAPEY3-int|IAPLTR4_I	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4_I|IAPEY3-int|IAPEY3-int|IAPEY3-int|IAPEY2_LTR	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4|IAPLTR3-int	0	18	4692	0.05	1.0	peak_in_te	1	n.s
IAPLTR4|IAPLTR3-int|IAPLTR3-int|IAPLTR3-int	0	15	4692	0.03	1.0	peak_in_te	1	n.s
IAPLTR4|IAPLTR3-int|IAPLTR3-int|IAPLTR3-int|IAPLTR3-int|IAPLTR3-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
L1MD	5	6233	4692	5.3	1.0	te_in_peak	1	n.s
LTR16D2	0	64	4692	0.05	1.0	te_in_peak	1	n.s
LTR16A|LTR16A|LTR16A	0	5	4692	0.0	1.0	peak_in_te	1	n.s
LTR16A|LTR16A|HERV16-int|HERV16-int|HERV16-int|HERV16-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR16A|LTR16A|HERV16-int|HERV16-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
LTR16A|LTR16A|HERV16-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
LTR16A|HERV16-int	0	4	4692	0.0	1.0	te_in_peak	1	n.s
L1MD3	2	2467	4692	2.1	1.0	te_in_peak	1	n.s
L1MC4a	3	3592	4692	3.05	1.0	te_in_peak	1	n.s
IAPLTR4|IAPLTR3-int|IAPLTR3|IAPLTR3-int|IAPLTR3-int|IAPLTR3-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
L1M2b	0	16	4692	0.01	1.0	te_in_peak	1	n.s
L1M2a1	0	9	4692	0.01	1.0	te_in_peak	1	n.s
IAPLTR4|IAPLTR4|IAPLTR3-int|IAPLTR3-int|IAPLTR3-int|IAPLTR3-int|IAPLTR3|IAPLTR3-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR4|IAPLTR4|IAPLTR3-int|IAPLTR3-int	0	3	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4|IAPLTR4|IAPLTR3-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR4|IAPLTR4	0	3	4692	0.0	1.0	te_in_peak	1	n.s
IAPLTR4|IAPLTR3-int|IAPLTR4	0	6	4692	0.05	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2a	0	4	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPLTR2_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	8	4692	0.05	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int	0	3	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int	0	7	4692	0.03	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int	0	6	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int	0	10	4692	0.03	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPA_MM-int|IAPA_MM-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPA_MM-int	0	18	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2a	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2a|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|RLTR27|RLTR27|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|RLTR27|RLTR27|IAPEz-int|IAPLTR2_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2_Mm	0	4	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2_Mm|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	5	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	3	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2a	0	3	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm|IAPEz-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1_Mm|IAPEz-int|IAPLTR1_Mm|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int	0	6	4692	0.04	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1_Mm	0	5	4692	0.03	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPEz-int|IAPEz-int|IAPEz-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPEz-int|IAPEz-int	0	3	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPEz-int	0	6	4692	0.03	1.0	peak_in_te	1	n.s
IAPLTR1_Mm|IAPA_MM-int	0	29	4692	0.03	1.0	peak_in_te	1	n.s
IAPLTR1_Mm	0	64	4692	0.05	1.0	te_in_peak	1	n.s
IAPEz-int|RLTR27|RLTR27|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPEz-int|RLTR27|IAPEz-int|IAPLTR2a	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	3	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	4	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|RLTR27|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPLTR2b	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	2	4692	0.02	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|RLTR27|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	2	4692	0.05	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR1a_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR1a_Mm|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPEz-int|IAPLTR1a_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|IAPLTR2_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
IAPLTR2_Mm|IAPEz-int|IAPEz-int|IAPEz-int|RLTR27|RLTR27|IAPEz-int|IAPEz-int|IAPLTR2_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
