	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
ORR1C2	10	6866	4692	5.84	1.6	te_in_peak	1	n.s
RLTR9A3B	1	307	4692	0.26	1.6	te_in_peak	1	n.s
LTR16B1	1	299	4692	0.25	1.6	te_in_peak	1	n.s
MLTR31FA_MM	1	390	4692	0.33	1.5	te_in_peak	1	n.s
RMER15|RMER15	3	1973	4692	1.68	1.5	te_in_peak	1	n.s
MYSERV6-int	2	1120	4692	0.97	1.5	peak_in_te	1	n.s
L1MB4	4	2717	4692	2.31	1.5	te_in_peak	1	n.s
RLTR23	2	1194	4692	1.01	1.5	te_in_peak	1	n.s
RLTR30	1	375	4692	0.32	1.5	te_in_peak	1	n.s
MLT1F	2	1148	4692	0.98	1.5	te_in_peak	1	n.s
MamSINE1	1	409	4692	0.35	1.5	te_in_peak	1	n.s
RMER16	2	1192	4692	1.01	1.5	te_in_peak	1	n.s
RMER17A2|RMER17A2	1	267	4692	0.35	1.5	peak_in_te	1	n.s
BGLII_Mus	1	416	4692	0.35	1.5	te_in_peak	1	n.s
L1M6	1	368	4692	0.31	1.5	te_in_peak	1	n.s
Ricksha_c	1	423	4692	0.36	1.5	te_in_peak	1	n.s
Charlie10	1	366	4692	0.31	1.5	te_in_peak	1	n.s
ORR1D1-int|ORR1D1	1	229	4692	0.3	1.5	peak_in_te	1	n.s
MER81	1	506	4692	0.43	1.4	te_in_peak	1	n.s
LTR41	1	507	4692	0.43	1.4	te_in_peak	1	n.s
MER115	1	566	4692	0.48	1.4	te_in_peak	1	n.s
HAL1b	1	505	4692	0.43	1.4	te_in_peak	1	n.s
RLTR25B|RLTR25B	1	385	4692	0.4	1.4	peak_in_te	1	n.s
MER94	1	461	4692	0.39	1.4	te_in_peak	1	n.s
RMER6D|RMER6D	1	358	4692	0.4	1.4	peak_in_te	1	n.s
RMER10A|RMER10A	1	460	4692	0.39	1.4	te_in_peak	1	n.s
ORR1E|ORR1E	3	2103	4692	1.79	1.4	te_in_peak	1	n.s
RLTR9D	1	489	4692	0.42	1.4	te_in_peak	1	n.s
MamRep434	1	527	4692	0.45	1.4	te_in_peak	1	n.s
MTD|MTD-int|MTD	1	180	4692	0.48	1.4	peak_in_te	1	n.s
B1F2	21	16775	4692	14.26	1.4	te_in_peak	1	n.s
ORR1A4|ORR1A4-int|ORR1A4	1	143	4692	0.53	1.3	peak_in_te	1	n.s
MER34	1	597	4692	0.51	1.3	te_in_peak	1	n.s
MTD|MTD|MTD	1	452	4692	0.51	1.3	peak_in_te	1	n.s
