name,ID,ZNF436_vs_dK_p.val,ZNF436_vs_dK_p.adj,ZNF436_vs_dK_significant,ZNF436_vs_dK_ratio,dK_centered,GFP_centered,wt_centered,ZNF436_centered,role
ILKAP,Q9H0C8,0.059047778,0.695,FALSE,0.378,-0.126,0.167,-0.365,0.252,
C21orf33,P0DPI2,0.059708803,0.696,FALSE,-0.338,0.252,0.137,-0.422,-0.0861,
FYTTD1,Q96QD9,0.059640413,0.696,FALSE,-0.298,0.208,0.0212,-0.252,-0.0894,
NID2,Q14112,0.059928296,0.697,FALSE,-0.795,0.389,0.591,-0.361,-0.405,
EPHA2,P29317,0.06032997,0.698,FALSE,-0.286,0.128,-0.353,0.296,-0.158,
ZNF28,P17035,0.060379484,0.698,FALSE,0.314,-0.0771,-0.0372,-0.294,0.237,
TKT,P29401,0.060580386,0.699,FALSE,0.567,-0.468,-0.322,0.951,0.0991,
EHD1,A0A024R571,0.060832391,0.7,FALSE,-0.187,0.0621,-0.0219,0.14,-0.125,
BMP1,P13497,0.061445571,0.701,FALSE,-1.02,0.111,-0.0091,1.61,-0.914,
GDF15,Q99988,0.061487804,0.701,FALSE,0.465,-0.27,-0.0762,0.202,0.195,
MGST3,O14880,0.061474323,0.701,FALSE,-0.405,0.421,0.165,-0.985,0.0164,
NELFE,P18615,0.061552386,0.702,FALSE,0.341,-0.254,-0.0842,0.391,0.0865,
SAE1,Q9UBE0,0.062232941,0.703,FALSE,0.29,-0.24,-0.0566,0.42,0.0492,
HINT1,P49773,0.062299242,0.704,FALSE,0.403,-0.35,-0.293,0.788,0.0531,
NUMA1,Q14980-2,0.063226643,0.706,FALSE,0.309,0.0555,0.445,-1.14,0.365,
DDX24,G3V529,0.064526489,0.709,FALSE,-0.23,0.147,-0.116,-0.0507,-0.0831,
MYO1E,Q12965,0.064395917,0.709,FALSE,-0.394,0.0255,-0.0347,0.709,-0.368,
MYO18A,Q92614-4,0.064887443,0.71,FALSE,-0.707,1.1,0.146,-3.07,0.389,
FBN2,P35556,0.06507202,0.711,FALSE,-0.479,0.234,0.389,-0.24,-0.244,
MYH9,P35579,0.064997693,0.711,FALSE,-1.44,1.13,-0.372,-1.4,-0.308,
PRKRA,O75569-3,0.065420905,0.712,FALSE,0.153,-0.0688,-0.0588,0.00838,0.0842,
PRPF40B,F8VU11,0.065533406,0.712,FALSE,0.854,-0.166,-1.12,-0.301,0.688,
ZNF451,E9PH99,0.065363617,0.712,FALSE,0.391,-0.29,0.0273,0.361,0.101,
RPLP0,P05388,0.06606352,0.713,FALSE,-0.128,0.0499,-0.0301,0.076,-0.0779,
TINAGL1,Q9GZM7-3,0.066104083,0.713,FALSE,-0.719,0.0354,0.397,1.03,-0.683,
CCT8,P50990,0.066310727,0.714,FALSE,0.182,-0.213,1.65,-0.612,-0.031,
FAT1,Q14517,0.066287514,0.714,FALSE,-1.19,0.26,1.21,0.527,-0.926,
CPVL,Q9H3G5,0.066922078,0.715,FALSE,-0.31,0.211,-0.0592,-0.186,-0.0987,
PACS1,Q6VY07,0.066723206,0.715,FALSE,-0.265,0.264,-0.12,-0.448,-0.000409,
GTF3C5,Q9Y5Q8-2,0.066996661,0.716,FALSE,0.22,-0.0743,0.0735,-0.191,0.145,
WARS,P23381,0.069291779,0.721,FALSE,-0.394,0.144,0.212,0.0705,-0.25,
RPL35,P42766,0.070051756,0.723,FALSE,0.688,-0.507,0.243,0.489,0.181,
TMOD1,P28289,0.071494213,0.726,FALSE,-1.65,1.48,-0.243,-2.46,-0.166,
PGM1,P36871,0.072429037,0.728,FALSE,0.487,-0.217,0.0327,-0.13,0.27,
RPL8,P62917,0.072538484,0.728,FALSE,-0.212,0.0844,0.236,-0.071,-0.127,
ARMCX1,Q9P291,0.072810821,0.729,FALSE,-0.328,0.29,0.389,-0.766,-0.0373,
BRIX1,Q8TDN6,0.07264446,0.729,FALSE,0.247,-0.211,0.454,0.0469,0.0361,
PSMA7,O14818,0.073343232,0.73,FALSE,0.356,-0.159,-0.126,0.00653,0.198,
FIP1L1,Q6UN15,0.074029784,0.731,FALSE,0.687,0.37,-0.593,-2.46,1.06,
MAT2B,A0A8Q3WK74,0.073725909,0.731,FALSE,-0.297,0.0909,-0.0885,0.29,-0.206,
HMGA2,F5H2U8,0.074483607,0.732,FALSE,-0.3,0.102,-0.081,0.247,-0.198,
SPCS2,E9PL01,0.074764581,0.733,FALSE,0.225,-0.123,-0.315,0.252,0.102,
FAR1,E9PNW8,0.075209022,0.734,FALSE,-0.249,0.0972,-0.287,0.3,-0.152,
CPT1A,P50416,0.07556812,0.735,FALSE,-0.333,0.421,0.0166,-1.03,0.0877,
CLPTM1,O96005,0.076928394,0.737,FALSE,-0.256,0.146,-0.254,0.0998,-0.111,
PCNA,P12004,0.076720435,0.737,FALSE,-0.164,0.0068,0.136,0.211,-0.158,
RECQL,P46063,0.076878623,0.737,FALSE,0.293,-0.237,0.14,0.266,0.0567,
LAMC1,P11047,0.077244635,0.738,FALSE,-0.563,0.0632,0.602,0.472,-0.5,
NXF1,Q9UBU9,0.077260432,0.738,FALSE,0.207,0.0613,-0.111,-0.584,0.268,
COL5A2,P05997,0.077984435,0.739,FALSE,-0.322,0.124,0.418,-0.13,-0.198,
ACADSB,P45954,0.079058318,0.742,FALSE,-0.237,0.232,-0.308,-0.25,-0.00456,
FAM84B,Q96KN1,0.080313304,0.744,FALSE,0.253,-0.0218,-0.115,-0.342,0.231,
ZMPSTE24,O75844,0.080477542,0.744,FALSE,0.286,-0.32,0.105,0.639,-0.0342,
EIF3M,Q7L2H7,0.081059279,0.745,FALSE,-0.371,0.183,0.16,-0.0946,-0.189,
NDUFS3,O75489,0.08068966,0.745,FALSE,-0.194,0.179,0.0299,-0.345,-0.0159,
HTATSF1,O43719,0.081438577,0.746,FALSE,0.254,-0.13,0.0405,-0.016,0.124,
DIDO1,Q9BTC0,0.081841361,0.747,FALSE,0.882,-0.358,-0.462,-0.0242,0.524,
RPS20,P60866,0.081887201,0.747,FALSE,-0.198,0.00391,0.137,0.289,-0.194,
SREK1,Q8WXA9-2,0.082040593,0.747,FALSE,0.207,-0.13,0.152,0.00417,0.077,
CALM2,P0DP25,0.082441923,0.748,FALSE,0.502,0.0677,-0.27,-1.09,0.569,
CNOT1,A5YKK6-2,0.082459445,0.748,FALSE,-0.239,-0.0114,0.0946,0.461,-0.251,
NOC2L,Q9Y3T9,0.082634245,0.748,FALSE,0.226,-0.144,0.313,-0.0844,0.082,
CNN2,B4DUT8,0.082991151,0.749,FALSE,0.194,-0.0876,-0.117,0.0398,0.107,
G3BP2,Q9UN86,0.083105833,0.749,FALSE,-0.198,0.181,-0.245,-0.166,-0.0165,
ATAD1,Q8NBU5,0.083736517,0.75,FALSE,-0.197,0.0941,0.127,-0.0677,-0.103,
CAPRIN1,Q14444-2,0.083581694,0.75,FALSE,-0.281,0.171,-0.334,0.101,-0.11,
MRPL39,Q9NYK5,0.083703628,0.75,FALSE,-0.232,0.105,0.0305,0.0234,-0.127,
RAB1B,Q9H0U4,0.084027883,0.751,FALSE,0.26,-0.229,0.254,0.229,0.0304,
GNAI3,P08754,0.084598485,0.752,FALSE,0.179,-0.121,0.125,0.0434,0.0575,
CKB,P12277,0.085722534,0.754,FALSE,0.478,-0.332,0.0994,0.305,0.146,
MRPL47,Q9HD33-2,0.0861466,0.754,FALSE,-0.183,0.0465,0.13,0.0923,-0.136,
PAICS,P22234,0.086718898,0.755,FALSE,0.241,-0.212,0.219,0.218,0.0294,
DPF3,Q92784-2,0.087238891,0.756,FALSE,0.813,-0.102,-0.406,-0.947,0.711,
NBAS,A2RRP1-2,0.087158686,0.756,FALSE,0.19,-0.122,-0.123,0.189,0.0682,
PDIA5,Q14554,0.08710027,0.756,FALSE,-0.276,0.0785,-0.119,0.318,-0.198,
CAMK2D,E9PF82,0.088089722,0.757,FALSE,-0.237,0.291,-0.0124,-0.68,0.0536,
GMPPA,Q96IJ6,0.087998459,0.757,FALSE,-0.134,-0.0132,0.0689,0.276,-0.148,
NPM1,P06748,0.08819175,0.758,FALSE,0.277,-0.133,0.31,-0.229,0.144,
HSD17B12,Q53GQ0,0.089202987,0.759,FALSE,-0.219,0.15,-0.169,-0.0473,-0.0697,
ARF5,P84085,0.089658072,0.76,FALSE,0.155,-0.128,-0.0756,0.252,0.027,
NDUFA5,A0A7I2V2W4,0.090588834,0.761,FALSE,-0.165,0.125,0.114,-0.244,-0.0404,
RFC5,P40937-2,0.090145933,0.761,FALSE,-0.404,0.00272,0.169,0.685,-0.402,
