"","TEsubFam","X1","X2"
"Eulor2A","Eulor2A",-0.883630077328764,3.12420715000777
"Eulor2B","Eulor2B",-2.03127066546272,2.85618204866321
"Eulor2C","Eulor2C",-1.45895319076008,3.25321277777756
"Eulor3","Eulor3",-1.84607443295648,2.44411554536105
"Eulor5A","Eulor5A",-0.623096688286809,3.19321493342298
"Eulor5B","Eulor5B",-0.565665502225372,3.56494920851567
"Eulor6A","Eulor6A",-1.27683109116147,3.10313289206028
"Eulor6B","Eulor6B",-1.04100953481879,2.97569614677367
"Eulor6C","Eulor6C",-2.07190385050723,2.96629005150027
"Eulor6D","Eulor6D",-0.748910731077783,3.21249625982585
"Eulor6E","Eulor6E",-1.18350652016297,3.46256813188938
"Eulor7","Eulor7",-2.31355933608576,2.97835571938648
"Eulor8","Eulor8",0.436116922828832,0.936733781987478
"Eulor9A","Eulor9A",-0.404345049370111,3.5021284811256
"Eulor9B","Eulor9B",-1.71299747188041,3.00356399643635
"Eulor9C","Eulor9C",-0.518066733535374,3.58926179718554
"EutTc1-N1","EutTc1-N1",-2.70956424930837,1.83520966710417
"EutTc1-N2","EutTc1-N2",-1.86083051881136,2.96239126753051
"EuthAT-2","EuthAT-2",2.75055151437442,-0.746636748953721
"EuthAT-N1","EuthAT-N1",-1.75413721918847,2.71549103777477
"EuthAT-N1a","EuthAT-N1a",-1.59335206586165,2.56275355837277
"Eutr10","Eutr10",2.18635048536789,-0.892675215009131
"Eutr11","Eutr11",2.22836812169676,0.595804839401008
"Eutr15","Eutr15",0.522576870694559,-1.86023545221276
"Eutr16","Eutr16",0.759498770107815,0.576335303235172
"Eutr18","Eutr18",2.07137713466644,1.49377239365884
"Eutr2","Eutr2",1.77549490226045,0.323096874926091
"Eutr2B","Eutr2B",1.9577640001753,0.169670753324052
"Eutr5","Eutr5",0.504665026016406,-0.656947347495915
"FAM","FAM",3.06116071500133,-2.92013604550166
"FLAM_A","FLAM_A",3.03828765094499,-3.2488550088998
"FLAM_C","FLAM_C",2.82300197154815,-5.24158956531831
"FRAM","FRAM",2.79466836533931,-5.24051063815459
"FordPrefect","FordPrefect",0.908488043370399,-1.03100602689085
"FordPrefect_a","FordPrefect_a",-0.404701512167514,1.11892286017171
"HAL1","HAL1",0.82277913096078,-5.12884336516843
"HAL1M8","HAL1M8",1.57486750480793,-3.86949229886681
"HAL1ME","HAL1ME",0.820801800490917,-5.14983482076423
"HAL1b","HAL1b",1.27593462492664,-4.19431247166982
"HERV-Fc1-int","HERV-Fc1-int",-2.35723702766087,2.71295498815006
"HERV-Fc1_LTR2","HERV-Fc1_LTR2",-1.5965302540953,2.4339914621779
"HERV-Fc1_LTR3","HERV-Fc1_LTR3",-1.78358264025071,1.78080338280336
"HERV15-int","HERV15-int",-2.00445254595231,2.78004298449717
"HERV16-int","HERV16-int",1.15271976986656,-3.41184526246266
"HERV17-int","HERV17-int",-2.17227547392472,2.53422954794558
"HERV1_I-int","HERV1_I-int",-2.17905594770842,2.81819531438939
"HERV1_LTRc","HERV1_LTRc",-1.57481935623536,2.5100470187169
"HERV1_LTRe","HERV1_LTRe",-2.44985853960545,3.03958867570186
"HERV3-int","HERV3-int",-2.60413297800275,3.15716088258881
"HERV30-int","HERV30-int",-2.09783905011592,2.85328706594083
"HERV35I-int","HERV35I-int",-2.1817021999061,0.12846065246383
"HERV4_I-int","HERV4_I-int",-2.11765598242447,0.0620068248249996
"HERV9-int","HERV9-int",-2.22695598722645,2.64962065389413
"HERV9N-int","HERV9N-int",-2.05440376004941,2.82551008760705
"HERV9NC-int","HERV9NC-int",-3.07683906151558,2.75656646706386
"HERVE-int","HERVE-int",-3.95338843151728,2.01860104558064
"HERVE_a-int","HERVE_a-int",-2.25211743295085,2.6287956030338
"HERVFH19-int","HERVFH19-int",-2.06444486768302,2.86448293165736
"HERVFH21-int","HERVFH21-int",-3.09501961099846,2.82218790071046
"HERVH-int","HERVH-int",-2.73067555558747,2.52229872913212
"HERVH48-int","HERVH48-int",-2.72516637336365,4.20847996886377
"HERVI-int","HERVI-int",-3.2777177896141,3.15367787717941
"HERVIP10B3-int","HERVIP10B3-int",-3.45211849880325,3.12425196128924
"HERVIP10F-int","HERVIP10F-int",-3.55609157929303,3.12747484964611
"HERVIP10FH-int","HERVIP10FH-int",-3.85752744925514,3.18207426228896
"HERVK-int","HERVK-int",-2.32538323023128,2.62091737660956
"HERVK11-int","HERVK11-int",-2.93088776665636,2.82556630184518
"HERVK11D-int","HERVK11D-int",-2.33222566415733,3.18220937964755
"HERVK13-int","HERVK13-int",-1.90920018761295,3.49541831783963
"HERVK14-int","HERVK14-int",-2.90681417020937,2.17966983354408
"HERVK14C-int","HERVK14C-int",-2.73217498530909,2.43359340624843
"HERVK22-int","HERVK22-int",-4.18599830723357,4.15030380833418
"HERVK3-int","HERVK3-int",-2.49426482627952,2.17453988240509
"HERVK9-int","HERVK9-int",-2.63268114646714,2.47355799246029
"HERVKC4-int","HERVKC4-int",-2.51885871725132,2.61788516154807
"HERVL-int","HERVL-int",-3.72890790332077,2.13559441761533
"HERVL18-int","HERVL18-int",-2.56770511006954,2.86280778547129
"HERVL32-int","HERVL32-int",-2.31699852289892,2.78125850273188
"HERVP71A-int","HERVP71A-int",-3.15773195106098,3.18823497747375
"HERVS71-int","HERVS71-int",-2.55491031251202,2.9938102355641
"HSMAR1","HSMAR1",-2.06346960271816,3.05490284112012
"HSMAR2","HSMAR2",-2.00024332571638,2.70744908951321
"HUERS-P1-int","HUERS-P1-int",-1.44501647517463,1.40351100519237
"HUERS-P2-int","HUERS-P2-int",-2.59418638305559,4.65304230564358
"HUERS-P3-int","HUERS-P3-int",-2.41648470219763,1.00177309031006
"HUERS-P3b-int","HUERS-P3b-int",-2.44306122720306,0.920911184727139
"Harlequin-int","Harlequin-int",-2.40386183801561,2.5595316795459
"Helitron1Na_Mam","Helitron1Na_Mam",1.77305538109105,0.0198571887494059
"Helitron1Nb_Mam","Helitron1Nb_Mam",0.452348895811532,0.567037809961677
"Helitron2Na_Mam","Helitron2Na_Mam",2.28758662835134,0.594103818906503
"Helitron3Na_Mam","Helitron3Na_Mam",2.91914955686813,-1.37433183337636
"Kanga1","Kanga1",2.58531318714838,-0.842454953188335
"Kanga11a","Kanga11a",2.76625220291083,-0.672826993666028
"Kanga1a","Kanga1a",2.65202309910977,-0.691381038888325
