subfam_name,n_i,n_T.te,n_T.peak,expected,fc.expected,comparison,padj.final,significance,ZNF,kzfp,age
L2,112,54017,6159,59.85,1.9,te_in_peak,1.49e-07,****,ZKSCAN5_pubM,ZKSCAN5,163.7
L2b,154,91943,6159,101.87,1.5,te_in_peak,0.000107,***,ZKSCAN5_pubM,ZKSCAN5,163.7
L2c,185,126360,6159,140.01,1.3,te_in_peak,0.0117,*,ZKSCAN5_pubM,ZKSCAN5,163.7
L2b,10,91943,29,0.92,5.7,te_in_peak,6.28e-05,****,ZKSCAN8_noid,ZKSCAN8,163.7
L2b,48,91943,2392,34.76,1.4,te_in_peak,0.395,n.s,ZNF101_pubM,ZNF101,43.1
L2,91,54017,9099,76.03,1.2,te_in_peak,0.466,n.s,ZNF133_pubM,ZNF133,105
L2b,386,91943,5489,81.47,4.7,te_in_peak,2.75e-128,****,ZNF189_pubM,ZNF189,105
L2a,666,166340,5489,147.39,4.5,te_in_peak,1.04e-210,****,ZNF189_pubM,ZNF189,105
L2c,392,126360,5489,111.97,3.5,te_in_peak,1.58e-91,****,ZNF189_pubM,ZNF189,105
MIR3,15,87870,142,4.05,3.2,te_in_peak,0.0134,*,ZNF23_n_noid,ZNF23,105
L2,300,54017,23069,183.05,1.6,te_in_peak,1e-13,****,ZNF257_pubM,ZNF257,29.1
L2b,425,91943,23069,311.57,1.4,te_in_peak,3.06e-08,****,ZNF257_pubM,ZNF257,29.1
L2a,719,166340,23069,563.67,1.3,te_in_peak,9.6e-09,****,ZNF257_pubM,ZNF257,29.1
L2c,480,126360,23069,428.19,1.1,te_in_peak,0.129,n.s,ZNF257_pubM,ZNF257,29.1
L2d2,48,52674,2854,22.02,2.1,te_in_peak,8.8e-05,****,ZNF26_pubM,ZNF26,105
L2a,126,166340,2854,69.54,1.8,te_in_peak,8.16e-08,****,ZNF26_pubM,ZNF26,105
MIR,93,174396,2854,72.91,1.3,te_in_peak,0.408,n.s,ZNF26_pubM,ZNF26,105
L2a,22,166340,99,5.26,3.7,te_in_peak,5.08e-05,****,ZNF3_pubM,ZNF3,163.7
MIRc,13,100994,99,3.19,3.3,te_in_peak,0.0179,*,ZNF3_pubM,ZNF3,163.7
L2b,11,91943,99,2.91,3.1,te_in_peak,0.0879,n.s,ZNF3_pubM,ZNF3,163.7
L2a,40,166340,291,15.86,2.4,te_in_peak,0.000103,***,ZNF77_pubM,ZNF77,97.5
L2,14,54017,753,6.21,2.1,te_in_peak,0.319,n.s,ZNF799_pubM,ZNF799,43.1
L2,66,54017,5470,40.02,1.6,te_in_peak,0.00579,**,ZNF823_pubM,ZNF823,43.1
L2c,31,126360,894,17.96,1.7,te_in_peak,0.271,n.s,ZNF845_n,ZNF845,29.1
L2a,37,166340,894,23.64,1.5,te_in_peak,0.485,n.s,ZNF845_n,ZNF845,29.1
MIR3,31,87870,365,11.19,2.6,te_in_peak,0.000163,***,ZNF606_noid,ZNF606,105
MIRb,45,223887,365,28.51,1.6,te_in_peak,0.218,n.s,ZNF606_noid,ZNF606,105
